ProjectID,StartDate,PlannedDurationDays,EndDate,ActualDurationDays,ActualEndDate,Budget,ActualCost,TeamSize,Complexity,Risk,Status,ScheduleVarianceDays,CostVariance,Success
P001,2022-01-31,81,2022-04-22,107,2022-05-18,149695,147847,9,High,Low,Completed,26,-1848,0
P002,2022-12-30,297,2023-10-23,389,2024-01-23,173772,202290,33,Medium,Low,Completed,92,28518,0
P003,2021-05-10,324,2022-03-30,397,2022-06-11,54620,90160,8,Low,Medium,In Progress,73,35540,0
P004,2022-07-18,142,2022-12-07,231,2023-03-06,148148,148415,16,Medium,Medium,Completed,89,267,0
P005,2022-02-04,130,2022-06-14,171,2022-07-25,40559,55848,49,Low,Low,Completed,41,15289,0
P006,2021-12-31,142,2022-05-22,237,2022-08-25,113396,104458,6,Low,Low,Completed,95,-8938,0
P007,2023-09-21,110,2024-01-09,158,2024-02-26,41732,82860,31,Medium,High,Completed,48,41128,0
P008,2021-11-10,216,2022-06-14,271,2022-08-08,111362,151810,35,Low,Low,Completed,55,40448,0
P009,2023-06-27,142,2023-11-16,137,2023-11-11,181426,201352,40,Medium,Low,Completed,-5,19926,0
P010,2019-05-02,31,2019-06-02,100,2019-08-10,33843,30072,40,Low,Low,Completed,69,-3771,0
P011,2020-04-11,159,2020-09-17,228,2020-11-25,134065,180858,30,Low,Medium,Completed,69,46793,0
P012,2022-05-23,249,2023-01-27,276,2023-02-23,91726,131003,47,Low,Medium,Cancelled,27,39277,0
P013,2019-11-27,83,2020-02-18,147,2020-04-22,37640,75555,31,Low,Low,Completed,64,37915,0
P014,2023-01-22,253,2023-10-02,271,2023-10-20,72528,67160,9,Medium,Low,Cancelled,18,-5368,0
P015,2019-03-29,254,2019-12-08,333,2020-02-25,58413,87469,24,Low,Medium,Completed,79,29056,0
P016,2022-10-28,155,2023-04-01,167,2023-04-13,72638,66234,15,Medium,Medium,In Progress,12,-6404,0
P017,2022-01-28,159,2022-07-06,232,2022-09-17,130133,164376,14,Medium,Low,In Progress,73,34243,0
P018,2021-05-21,82,2021-08-11,162,2021-10-30,126357,122525,44,Medium,High,Completed,80,-3832,0
P019,2023-08-15,201,2024-03-03,203,2024-03-05,170159,202722,42,High,Low,In Progress,2,32563,0
P020,2019-05-11,247,2020-01-13,236,2020-01-02,192502,190063,10,Medium,Low,In Progress,-11,-2439,0
P021,2023-08-13,189,2024-02-18,286,2024-05-25,175576,173834,12,Low,High,Completed,97,-1742,0
P022,2022-08-25,227,2023-04-09,275,2023-05-27,158186,164802,27,Low,Low,Completed,48,6616,0
